date;match_id;team1;team2;map1;map1_score;map2;map2_score;map3;map3_score
11th of november 2012;8888279;northern;memento-mori;train_se;16:10;;;;
11th of november 2012;8888281;3dmax;cplay;nuke_se;16:2;mirage_ce;16:11;;
11th of november 2012;8888282;eyes-on-u;antiquus;nuke_se;16:12;dust2_se;16:10;;
11th of november 2012;8888283;logix;tricked;mirage_ce;16:2;;;;
11th of november 2012;8888284;recession;nox-vulpes;nuke_se;16:8;;;;
11th of november 2012;8888301;esc;give-it-all;nuke_se;16:7;;;;
11th of november 2012;8888304;maxfloplay;boomslave;nuke_se;16:3;;;;
11th of november 2012;8888330;cplay;northern;inferno_se;16:7;;;;
11th of november 2012;8888332;anexis;cph-wolves;dust2_se;12:16;nuke_se;16:14;mirage_ce;12:16
11th of november 2012;8888333;3dmax;eyes-on-u;nuke_se;10:16;inferno_se;16:12;mirage_ce;16:12
11th of november 2012;8888334;snogard-dragons;antiquus;dust2_se;16:11;;;;
11th of november 2012;8888335;logix;sophisticated;nuke_se;16:8;;;;
11th of november 2012;8888336;recession;with-attitude;mirage_ce;19:17;;;;
11th of november 2012;8888415;cplay;snogard-dragons;nuke_se;16:13;;;;
11th of november 2012;8888422;recession;logix;nuke_se;4:16;;;;
11th of november 2012;8888524;cph-wolves;3dmax;nuke_se;5:16;dust2_se;16:1;mirage_ce;16:13
11th of november 2012;8888525;anexis;cplay;mirage_ce;16:4;;;;
11th of november 2012;8888526;eyes-on-u;logix;nuke_se;16:4;;;;
11th of november 2012;8888585;anexis;eyes-on-u;inferno_se;16:10;;;;
11th of november 2012;8888678;anexis;3dmax;dust2_se;16:10;;;;
11th of november 2012;8888714;cph-wolves;anexis;dust2_se;16:13;;;;
12th of november 2012;8888774;fm-esports;alternate-attax;nuke_se;4:16;dust2_se;6:16;;
12th of november 2012;8888776;tribute-to-sylvester;millenium;nuke_se;5:16;dust2_se;5:16;;
12th of november 2012;8888777;maxfloplay;lowlandlions;dust2_se;16:9;mirage_ce;16:13;;
12th of november 2012;8888779;buykey;eyes-on-u;nuke_se;10:16;inferno_se;4:16;;
12th of november 2012;8888780;mousesports;bx3;Best of 3;2:0;;;;
12th of november 2012;8888781;k1ck;3dmax;Best of 3;0:2;;;;
12th of november 2012;8888782;western-wolves;teamcrg;mirage_ce;16:10;inferno_se;16:3;;
12th of november 2012;8888857;anexis;tempno;mirage_ce;16:10;inferno_se;16:10;;
13th of november 2012;8889056;anexis;maxfloplay;mirage_ce;16:8;dust2_se;16:14;;
13th of november 2012;8889057;alternate-attax;millenium;mirage_ce;16:11;dust2_se;16:7;;
13th of november 2012;8889059;mousesports;3dmax;dust2_se;11:16;nuke_se;16:14;mirage_ce;6:16
13th of november 2012;8889061;western-wolves;eyes-on-u;mirage_ce;19:16;inferno_se;16:6;;
13th of november 2012;8889138;esc;rush3d;nuke_se;16:8;;;;
13th of november 2012;8889139;esc;alternate-attax;train_se;16:11;;;;
13th of november 2012;8889140;nfaculty;znation;dust2_se;16:8;;;;
14th of november 2012;8889340;anexis;alternate-attax;mirage_ce;16:5;dust2_se;16:8;;
13th of november 2012;8889350;delta;inet-koxxx;nuke_se;7:16;;;;
14th of november 2012;8889392;3dmax;western-wolves;mirage_ce;16:9;inferno_se;16:12;;
14th of november 2012;8889400;rush3d;virtuspro;dust2_se;7:16;;;;
14th of november 2012;8889482;mousesports;redzone;nuke_se;4:16;;;;
14th of november 2012;8889500;buggit;absolute-legends;inferno_se;16:7;mirage_ce;12:16;dust2_se;13:16
14th of november 2012;8889501;gosu;xaxixo);inferno_se;16:9;mirage_ce;16:14;;
14th of november 2012;8889650;imaginary;hawks;dust2_se;16:10;;;;
14th of november 2012;8889658;absolute-legends;gosu;mirage_ce;12:16;dust2_se;22:20;nuke_se;11:16
15th of november 2012;8889716;anexis;3dmax;mirage_ce;19:15;nuke_se;16:5;;
15th of november 2012;8889718;alternate-attax;western-wolves;train_se;4:16;dust2_se;9:16;;
15th of november 2012;8889825;3dmax;fr34kshow;nuke_se;11:16;;;;
15th of november 2012;8889832;cph-wolves;dat;dust2_se;13:16;;;;
15th of november 2012;8890013;nfaculty;extensive;train_se;5:16;;;;
16th of november 2012;8890293;rush3d;dat;nuke_se;16:3;;;;
18th of november 2012;8891157;dynamic;dont-trust-anyone;inferno_se;16:11;nuke_se;16:4;;
18th of november 2012;8891226;alternate-attax;znation;mirage_ce;6:16;;;;
18th of november 2012;8891228;mousesports;hawks;nuke_se;16:6;;;;
18th of november 2012;8891232;nip;mydgbnet;train_se;16:3;;;;
18th of november 2012;8891239;maxfloplay;ases;train_se;3:16;;;;
18th of november 2012;8891243;myrevenge;swissrage;train_se;3:16;;;;
18th of november 2012;8891252;absolute-legends;fr34kshow;nuke_se;16:6;mirage_ce;14:16;dust2_se;16:13
18th of november 2012;8891253;cplay;tempno;nuke_se;16:10;mirage_ce;16:8;;
18th of november 2012;8891257;alsen;asperagamers;nuke_se;3:16;;;;
18th of november 2012;8891258;boomslave;delta;inferno_se;6:16;;;;
18th of november 2012;8891259;esc;alsen;inferno_se;16:7;;;;
18th of november 2012;8891260;inet-koxxx;clan-poland;inferno_se;10:16;;;;
19th of november 2012;8891506;nip;esc;mirage_ce;16:2;;;;
18th of november 2012;8891516;absolute-legends;cplay;inferno_se;12:16;mirage_ce;10:16;;
18th of november 2012;8891518;fr34kshow;tempno;inferno_se;8:16;nuke_se;7:16;;
18th of november 2012;8891561;znation;winfakt;train_se;7:16;;;;
19th of november 2012;8891644;dat;fr34kshow;train_se;16:13;;;;
19th of november 2012;8891647;mousesports;cph-wolves;dust2_se;9:16;;;;
19th of november 2012;8891763;virtuspro;znation;train_se;16:14;;;;
19th of november 2012;8891764;esc;cph-wolves;nuke_se;15:15;;;;
19th of november 2012;8891766;esc;hawks;inferno_se;16:9;;;;
19th of november 2012;8891904;nfaculty;winfakt;train_se;2:16;;;;
20th of november 2012;8892083;mousesports;dat;mirage_ce;14:16;;;;
20th of november 2012;8892112;nip;verygames;train_se;16:6;;;;
21st of november 2012;8892146;3dmax;nextgaming;train_se;16:14;;;;
20th of november 2012;8892233;alternate-attax;rush3d;dust2_se;16:6;;;;
22nd of november 2012;8892342;nip;fnatic;nuke_se;16:6;;;;
22nd of november 2012;8892343;esc;mousesports;inferno_se;6:16;;;;
22nd of november 2012;8892344;nip;mousesports;mirage_ce;16:14;;;;
22nd of november 2012;8892345;fnatic;esc;nuke_se;16:7;;;;
22nd of november 2012;8892346;nip;esc;nuke_se;16:10;;;;
22nd of november 2012;8892347;mousesports;fnatic;dust2_se;16:14;;;;
22nd of november 2012;8892350;cph-wolves;progamingtd;train_se;16:7;;;;
22nd of november 2012;8892351;curse;gosu;nuke_se;15:15;;;;
22nd of november 2012;8892352;cph-wolves;gosu;dust2_se;16:6;;;;
22nd of november 2012;8892353;progamingtd;curse;train_se;16:11;;;;
22nd of november 2012;8892354;cph-wolves;curse;nuke_se;16:14;;;;
22nd of november 2012;8892355;gosu;progamingtd;nuke_se;7:16;;;;
21st of november 2012;8892433;k1ck;redzone;train_se;16:14;;;;
23rd of november 2012;8892805;3dmax;hawks;inferno_se;14:16;;;;
23rd of november 2012;8892806;verygames;hawks;dust2_se;16:12;;;;
23rd of november 2012;8892807;verygames;3dmax;nuke_se;16:3;;;;
23rd of november 2012;8892808;nfaculty;dynamic;inferno_se;9:16;;;;
23rd of november 2012;8892809;anexis;dynamic;dust2_se;15:15;;;;
23rd of november 2012;8892810;anexis;nfaculty;dust2_se;15:15;;;;
22nd of november 2012;8892811;znation;dat;mirage_ce;16:8;;;;
22nd of november 2012;8892812;give-it-all;asperagamers;inferno_se;15:15;;;;
22nd of november 2012;8892814;gosu;western-wolves;inferno_se;9:16;mirage_ce;11:16;;
23rd of november 2012;8892823;lemondogs;tricked;mirage_ce;16:4;;;;
