date;match_id;team1;team2;map1;map1_score;map2;map2_score;map3;map3_score
10th of march 2014;8990388;virtuspro;hellraisers;mirage;16:8;;;;
13th of march 2014;8990389;titan;mousesports;dust2;16:5;;;;
13th of march 2014;8990390;nip;3dmax;dust2;16:5;;;;
13th of march 2014;8990391;hellraisers;virtuspro;mirage;16:19;;;;
13th of march 2014;8990392;ldlc;vox-eminor;inferno;16:13;;;;
13th of march 2014;8990393;fnatic;reason;inferno;12:16;;;;
13th of march 2014;8990394;complexity;clan-mystik;inferno;16:6;;;;
13th of march 2014;8990395;dignitas;ibuypower;nuke;16:8;;;;
13th of march 2014;8990396;lgb;natus-vincere;inferno;16:8;;;;
11th of march 2014;8990398;no-sir;3dmax;inferno;11:16;;;;
11th of march 2014;8990400;vhcn;no-sir;dust2;0:1;;;;
11th of march 2014;8990402;ain;antiquus;dust2;16:7;;;;
11th of march 2014;8990403;newstyle;no-sir;inferno;16:7;;;;
11th of march 2014;8990406;3dmax;espuma;nuke;16:8;;;;
11th of march 2014;8990407;langes-lrlinge;antiquus;dust2;16:2;;;;
11th of march 2014;8990408;titan;dignitas;inferno;11:16;;;;
11th of march 2014;8990409;mousesports;property;train;16:12;;;;
12th of march 2014;8990410;armata;kurt-rambis-fan-club;cache;16:4;;;;
12th of march 2014;8990411;armata;tst;nuke;7:16;;;;
12th of march 2014;8990412;alternate-attax;aces;mirage;16:7;;;;
12th of march 2014;8990413;mym;aces;nuke;16:11;;;;
12th of march 2014;8990414;k1ck;mayam;inferno;15:15;;;;
11th of march 2014;8990416;titan;mousesports;dust2;16:9;;;;
13th of march 2014;8990417;titan;virtuspro;mirage;7:16;;;;
13th of march 2014;8990418;hellraisers;mousesports;dust2;16:9;;;;
13th of march 2014;8990419;nip;ldlc;inferno;16:7;;;;
13th of march 2014;8990420;3dmax;vox-eminor;inferno;16:7;;;;
13th of march 2014;8990421;titan;hellraisers;inferno;14:16;;;;
13th of march 2014;8990422;ldlc;3dmax;inferno;16:13;;;;
13th of march 2014;8990423;complexity;lgb;dust2;11:16;;;;
13th of march 2014;8990424;natus-vincere;clan-mystik;dust2;13:16;;;;
13th of march 2014;8990425;dignitas;reason;inferno;16:8;;;;
13th of march 2014;8990426;fnatic;ibuypower;inferno;16:13;;;;
14th of march 2014;8990427;reason;fnatic;inferno;6:16;;;;
14th of march 2014;8990428;complexity;clan-mystik;nuke;16:12;;;;
14th of march 2014;8990430;dignitas;hellraisers;dust2;16:7;mirage;16:11;;
14th of march 2014;8990432;virtuspro;ldlc;mirage;16:3;inferno;16:8;;
14th of march 2014;8990433;nip;complexity;dust2;12:16;nuke;16:2;train;16:11
15th of march 2014;8990434;lgb;fnatic;inferno;11:16;mirage;16:12;train;16:14
15th of march 2014;8990435;nip;dignitas;inferno;16:6;nuke;16:5;;
15th of march 2014;8990436;virtuspro;lgb;inferno;16:8;mirage;17:19;train;16:7
16th of march 2014;8990437;nip;virtuspro;mirage;9:16;inferno;10:16;;
17th of march 2014;8990438;mym;mayam;nuke;16:12;;;;
18th of march 2014;8990443;exertus;reliable;season;16:9;;;;
18th of march 2014;8990444;armata;ronin5;season;7:16;;;;
18th of march 2014;8990445;nip;natus-vincere;inferno;16:11;;;;
18th of march 2014;8990446;natus-vincere;aces;train;16:4;;;;
18th of march 2014;8990447;nip;alternate-attax;inferno;16:9;;;;
18th of march 2014;8990448;titan;aces;nuke;16:6;;;;
18th of march 2014;8990449;dignitas;k1ck;inferno;16:14;;;;
18th of march 2014;8990450;ence;gamepub;inferno;1:0;;;;
18th of march 2014;8990451;clan-mystik;h2k;inferno;12:16;;;;
18th of march 2014;8990452;newstyle;pumperne;dust2;8:16;;;;
18th of march 2014;8990453;no-sir;espuma;inferno;16:5;;;;
18th of march 2014;8990455;langes-lrlinge;vhcn;dust2;16:10;;;;
18th of march 2014;8990456;reason;pumperne;mirage;16:5;;;;
18th of march 2014;8990457;vhcn;espuma;inferno;16:6;;;;
18th of march 2014;8990459;ain;no-sir;inferno;16:8;;;;
18th of march 2014;8990460;newstyle;espuma;inferno;14:16;;;;
18th of march 2014;8990461;reason;vhcn;train;16:3;;;;
18th of march 2014;8990462;reason;newstyle;nuke;16:6;;;;
18th of march 2014;8990463;langes-lrlinge;pumperne;dust2;16:11;;;;
18th of march 2014;8990464;ain;vhcn;inferno;16:5;;;;
19th of march 2014;8990465;titan;clan-mystik;nuke;12:16;;;;
19th of march 2014;8990467;virtuspro;ldlc;inferno;16:8;;;;
19th of march 2014;8990468;mousesports;mayam;nuke;6:16;;;;
19th of march 2014;8990470;nip;clan-mystik;inferno;6:16;;;;
19th of march 2014;8990471;fnatic;hellraisers;dust2;16:8;inferno;19:16;;
20th of march 2014;8990474;ibuypower;reliable;cache;16:12;;;;
20th of march 2014;8990475;natus-vincere;property;mirage;16:9;;;;
20th of march 2014;8990476;fnatic;h2k;cache;19:16;;;;
20th of march 2014;8990477;nip;titan;nuke;13:16;mirage;5:16;;
20th of march 2014;8990479;fnatic;clan-mystik;nuke;16:6;;;;
21st of march 2014;8990480;hellraisers;ence;inferno;16:13;;;;
21st of march 2014;8990481;mousesports;3dmax;train;12:16;;;;
21st of march 2014;8990482;virtuspro;clan-mystik;dust2;16:9;mirage;16:3;;
22nd of march 2014;8990483;lgb;ldlc;inferno;10:16;dust2;12:16;;
23rd of march 2014;8990484;nip;dignitas;inferno;16:7;;;;
23rd of march 2014;8990485;ldlc;mousesports;dust2;16:14;inferno;19:15;;
22nd of march 2014;8990488;ameriflora;legends;nuke;5:16;;;;
22nd of march 2014;8990489;h5;we-<3-taiwan;dust2;9:16;;;;
22nd of march 2014;8990490;nxl;one;nuke;16:12;;;;
22nd of march 2014;8990491;nbdale;orange;inferno;16:9;;;;
22nd of march 2014;8990492;clan-mystik;3dmax;nuke;16:11;;;;
23rd of march 2014;8990493;nip;hellraisers;inferno;12:16;;;;
22nd of march 2014;8990494;nbdale;nxl;dust2;16:7;;;;
23rd of march 2014;8990495;we-<3-taiwan;orange;inferno;16:12;dust2;16:8;;
23rd of march 2014;8990496;nbdale;legends;inferno;11:16;nuke;0:16;;
23rd of march 2014;8990497;dignitas;k1ck;mirage;16:2;dust2;6:16;nuke;16:5
24th of march 2014;8990499;dignitas;clan-mystik;season;10:16;;;;
25th of march 2014;8990500;dignitas;clan-mystik;train;0:1;;;;
22nd of march 2014;8990501;lgb;natus-vincere;mirage;16:8;;;;
24th of march 2014;8990502;fnatic;clan-mystik;inferno;16:7;nuke;16:8;;
23rd of march 2014;8990503;vox-eminor;immunity;nuke;16:8;dust2;16:9;;
23rd of march 2014;8990504;legends;we-<3-taiwan;inferno;16:6;dust2;19:17;;
23rd of march 2014;8990506;expert;ronnylaget;inferno;6:16;dust2;22:19;mirage;15:19
24th of march 2014;8990508;nip;titan;dust2;14:16;;;;
24th of march 2014;8990509;titan;natus-vincere;mirage;12:16;;;;
24th of march 2014;8990510;fnatic;aces;nuke;16:6;;;;
24th of march 2014;8990511;ldlc;courage;inferno;16:11;;;;
23rd of march 2014;8990512;fnatic;k1ck;nuke;16:12;;;;
24th of march 2014;8990513;fnatic;lgb;inferno;22:18;;;;
24th of march 2014;8990514;nip;lgb;season;19:16;;;;
24th of march 2014;8990515;titan;lgb;inferno;16:13;;;;
25th of march 2014;8990517;hellraisers;mym;inferno;16:2;;;;
25th of march 2014;8990518;natus-vincere;mayam;train;16:14;;;;
25th of march 2014;8990519;virtuspro;clan-mystik;inferno;16:8;;;;
25th of march 2014;8990520;hellraisers;alternate-attax;dust2;16:4;;;;
25th of march 2014;8990521;virtuspro;alternate-attax;dust2;16:4;;;;
25th of march 2014;8990522;fnatic;mousesports;train;16:7;;;;
25th of march 2014;8990523;k1ck;gamepub;train;16:3;;;;
25th of march 2014;8990524;ence;h2k;train;15:15;;;;
25th of march 2014;8990525;titan;lan-dodgers;dust2;16:5;;;;
25th of march 2014;8990526;property;greyface;mirage;16:10;;;;
25th of march 2014;8990527;clan-mystik;npw;inferno;16:9;;;;
25th of march 2014;8990528;lgb;gedukt;dust2;16:14;;;;
25th of march 2014;8990529;fnatic;simrai;inferno;16:2;;;;
25th of march 2014;8990530;3dmax;ases;dust2;1:0;;;;
25th of march 2014;8990531;mousesports;h2k;cache;7:16;;;;
25th of march 2014;8990532;nip;ggrabb;nuke;16:2;;;;
25th of march 2014;8990533;ain;espuma;inferno;16:4;;;;
25th of march 2014;8990534;3dmax;ain;dust2;16:3;;;;
25th of march 2014;8990535;reason;no-sir;dust2;16:10;;;;
25th of march 2014;8990536;3dmax;langes-lrlinge;dust2;16:13;;;;
25th of march 2014;8990537;fnatic;3dmax;train;14:16;;;;
25th of march 2014;8990538;nip;h2k;inferno;16:9;;;;
25th of march 2014;8990539;titan;property;dust2;19:21;;;;
25th of march 2014;8990540;clan-mystik;lgb;season;4:16;;;;
26th of march 2014;8990542;fnatic;ldlc;nuke;16:13;;;;
26th of march 2014;8990544;aces;mayam;train;6:16;;;;
26th of march 2014;8990545;clan-mystik;courage;inferno;16:13;;;;
26th of march 2014;8990546;nip;3dmax;train;16:4;;;;
26th of march 2014;8990548;lgb;property;mirage;26:24;;;;
26th of march 2014;8990549;nip;virtuspro;season;19:16;;;;
27th of march 2014;8990550;fnatic;lgb;dust2;16:8;;;;
27th of march 2014;8990551;hellraisers;clan-mystik;inferno;16:8;;;;
27th of march 2014;8990552;titan;virtuspro;cache;16:5;dust2;12:16;inferno;15:19
26th of march 2014;8990553;complexity;reliable;train;16:14;;;;
26th of march 2014;8990554;complexity;denial;nuke;17:19;;;;
28th of march 2014;8990555;ldlc;dignitas;nuke;14:16;dust2;19:15;inferno;3:16
26th of march 2014;8990556;virtuspro;fnatic;inferno;16:13;;;;
26th of march 2014;8990557;fnatic;mousesports;inferno;16:11;train;13:16;mirage;5:16
26th of march 2014;8990558;nip;lgb;season;4:16;dust2;16:5;train;16:13
27th of march 2014;8990560;reliable;mythic;train;19:16;;;;
27th of march 2014;8990561;fnatic;natus-vincere;dust2;17:19;;;;
28th of march 2014;8990562;denial;ronin5;train;17:19;;;;
28th of march 2014;8990563;titan;fnatic;cache;16:6;;;;
28th of march 2014;8990564;ibuypower;armata;inferno;16:8;;;;
28th of march 2014;8990565;ldlc;hellraisers;inferno;19:17;;;;
29th of march 2014;8990567;virtuspro;dignitas;mirage;8:16;inferno;17:19;;
29th of march 2014;8990568;titan;ldlc;dust2;16:8;mirage;8:16;nuke;16:11
30th of march 2014;8990572;virtuspro;titan;dust2;3:16;cache;11:16;;
30th of march 2014;8990573;dignitas;titan;mirage;16:5;dust2;12:16;nuke;10:16
30th of march 2014;8990574;vox-eminor;carte-blanche;mirage;13:16;inferno;7:16;;
30th of march 2014;8990575;aces;oneshot;nuke;9:16;;;;
30th of march 2014;8990576;97club;teb9-kill;mirage;16:3;;;;
31st of march 2014;8990579;natus-vincere;clan-mystik;inferno;16:12;;;;
31st of march 2014;8990580;hellraisers;natus-vincere;mirage;16:12;;;;
31st of march 2014;8990581;fnatic;courage;inferno;16:12;;;;
31st of march 2014;8990582;mousesports;alternate-attax;dust2;11:16;;;;
31st of march 2014;8990583;nip;fnatic;nuke;16:12;;;;
31st of march 2014;8990584;titan;k1ck;dust2;16:3;;;;
31st of march 2014;8990585;natus-vincere;clan-mystik;inferno;16:12;;;;
1st of april 2014;8990586;titan;mayam;nuke;16:4;;;;
1st of april 2014;8990587;k1ck;mym;train;7:16;;;;
1st of april 2014;8990588;mym;courage;nuke;15:15;;;;
1st of april 2014;8990588;mym;courage;nuke;15:15;;;;
1st of april 2014;8990589;natus-vincere;alternate-attax;dust2;16:8;;;;
1st of april 2014;8990590;dignitas;gamepub;mirage;16:9;;;;
1st of april 2014;8990591;k1ck;h2k;mirage;16:13;;;;
1st of april 2014;8990592;clan-mystik;ence;mirage;1:0;;;;
1st of april 2014;8990593;denial;cyberrevolution;mirage;16:13;;;;
1st of april 2014;8990594;complexity;united5;mirage;16:12;;;;
1st of april 2014;8990595;titan;virtuspro;inferno;0:1;;;;
2nd of april 2014;8990596;ldlc;mousesports;train;19:17;mirage;16:12;;
1st of april 2014;8990597;virtuspro;clan-mystik;train;16:10;;;;
1st of april 2014;8990598;3dmax;pumperne;train;16:5;;;;
2nd of april 2014;8990601;natus-vincere;wizards;train;16:11;;;;
2nd of april 2014;8990602;virtuspro;mousesports;inferno;16:4;;;;
2nd of april 2014;8990603;nip;ldlc;nuke;16:8;;;;
2nd of april 2014;8990604;fnatic;mayam;nuke;16:8;;;;
2nd of april 2014;8990605;titan;courage;nuke;16:8;;;;
2nd of april 2014;8990606;titan;alternate-attax;dust2;16:4;;;;
2nd of april 2014;8990607;virtuspro;natus-vincere;train;19:15;;;;
2nd of april 2014;8990608;nip;natus-vincere;nuke;16:4;;;;
2nd of april 2014;8990609;ibuypower;tst;mirage;16:10;;;;
2nd of april 2014;8990610;ibuypower;mythic;train;16:7;;;;
3rd of april 2014;8990611;manajuma;cyberrevolution;train;16:8;;;;
3rd of april 2014;8990612;virtuspro;dignitas;dust2;12:16;;;;
3rd of april 2014;8990613;dignitas;wizards;nuke;16:14;;;;
3rd of april 2014;8990614;dignitas;fnatic;nuke;16:2;;;;
3rd of april 2014;8990615;titan;dignitas;inferno;16:11;;;;
3rd of april 2014;8990616;hellraisers;aces;mirage;16:4;;;;
3rd of april 2014;8990617;hellraisers;courage;nuke;16:10;;;;
3rd of april 2014;8990618;mousesports;courage;mirage;16:12;;;;
3rd of april 2014;8990619;virtuspro;natus-vincere;train;9:16;;;;
3rd of april 2014;8990620;nip;virtuspro;train;16:9;;;;
3rd of april 2014;8990621;denial;tst;train;16:12;;;;
3rd of april 2014;8990622;nip;wizards;train;16:1;;;;
4th of april 2014;8990623;ibuypower;cyberrevolution;dust2;16:8;;;;
4th of april 2014;8990624;fnatic;hellraisers;inferno;16:13;;;;
5th of april 2014;8990625;99dmg-juniorbots;bot-zdorov;cache;16:5;;;;
5th of april 2014;8990626;berholverbot;legendbots;mirage;16:14;;;;
5th of april 2014;8990627;99dmg-juniorbots;berholverbot;nuke;4:16;;;;
6th of april 2014;8990629;nip;courage;nuke;16:6;;;;
6th of april 2014;8990630;k1ck;courage;inferno;7:16;;;;
6th of april 2014;8990631;virtuspro;mym;mirage;16:5;;;;
6th of april 2014;8990632;alternate-attax;courage;inferno;16:14;;;;
6th of april 2014;8990633;virtuspro;courage;mirage;15:15;;;;
6th of april 2014;8990634;virtuspro;lgb;nuke;16:4;;;;
6th of april 2014;8990635;lgb;wizards;nuke;16:3;;;;
6th of april 2014;8990636;fnatic;lgb;mirage;12:16;;;;
6th of april 2014;8990637;nip;fnatic;train;16:14;;;;
6th of april 2014;8990638;titan;fnatic;train;16:10;;;;
6th of april 2014;8990639;eyesports;teb9-kill;dust2;10:16;;;;
7th of april 2014;8990640;virtuspro;wizards;inferno;10:16;;;;
7th of april 2014;8990641;titan;virtuspro;season;16:12;;;;
7th of april 2014;8990642;nip;titan;dust2;2:16;;;;
7th of april 2014;8990643;fnatic;natus-vincere;train;15:15;;;;
7th of april 2014;8990644;virtuspro;aces;mirage;16:7;;;;
7th of april 2014;8990645;natus-vincere;courage;mirage;16:7;;;;
7th of april 2014;8990646;nip;clan-mystik;nuke;16:6;;;;
7th of april 2014;8990647;hellraisers;mayam;inferno;16:12;;;;
7th of april 2014;8990648;ldlc;mym;nuke;16:10;;;;
7th of april 2014;8990649;mousesports;playing-ducks;dust2;16:9;;;;
7th of april 2014;8990650;wild-fire;bosshaft;inferno;16:3;;;;
7th of april 2014;8990652;nip;natus-vincere;mirage;13:16;;;;
7th of april 2014;8990653;mousesports;wild-fire;mirage;16:13;;;;
7th of april 2014;8990654;playing-ducks;bosshaft;dust2;16:13;;;;
7th of april 2014;8990655;wild-fire;playing-ducks;mirage;16:4;;;;
8th of april 2014;8990656;reliable;ronin5;dust2;16:9;;;;
8th of april 2014;8990657;fnatic;alternate-attax;inferno;16:11;;;;
8th of april 2014;8990658;mousesports;k1ck;dust2;12:16;;;;
8th of april 2014;8990659;titan;virtuspro;inferno;5:16;;;;
8th of april 2014;8990660;hellraisers;k1ck;inferno;15:15;;;;
8th of april 2014;8990661;courage;aces;nuke;12:16;;;;
8th of april 2014;8990662;dignitas;h2k;nuke;1:0;;;;
8th of april 2014;8990663;alternate-attax;penta;dust2;16:14;;;;
8th of april 2014;8990664;enro-griffins;deathenergy;inferno;4:16;;;;
8th of april 2014;8990665;clan-mystik;gamepub;nuke;16:6;;;;
8th of april 2014;8990666;ibuypower;united5;nuke;16:9;;;;
8th of april 2014;8990667;nip;lgb;inferno;16:4;;;;
8th of april 2014;8990668;k1ck;ence;nuke;11:16;;;;
9th of april 2014;8990669;exertus;mythic;dust2;16:14;;;;
8th of april 2014;8990670;alternate-attax;deathenergy;dust2;16:12;;;;
8th of april 2014;8990671;penta;enro-griffins;cache;3:16;;;;
8th of april 2014;8990672;deathenergy;enro-griffins;dust2;13:16;;;;
10th of april 2014;8990674;titan;natus-vincere;dust2;7:16;;;;
9th of april 2014;8990675;dignitas;lgb;train;16:10;;;;
9th of april 2014;8990676;nip;hellraisers;inferno;16:14;;;;
9th of april 2014;8990677;clan-mystik;mym;inferno;16:11;;;;
9th of april 2014;8990678;alternate-attax;mayam;inferno;14:16;;;;
9th of april 2014;8990679;ldlc;mousesports;inferno;16:8;;;;
9th of april 2014;8990680;mousesports;clan-mystik;dust2;16:4;;;;
9th of april 2014;8990681;virtuspro;lgb;dust2;16:12;;;;
9th of april 2014;8990682;titan;wizards;season;16:12;;;;
10th of april 2014;8990683;hellraisers;mousesports;dust2;16:14;;;;
10th of april 2014;8990684;virtuspro;fnatic;inferno;15:15;;;;
10th of april 2014;8990685;natus-vincere;k1ck;inferno;16:10;;;;
10th of april 2014;8990686;hellraisers;ldlc;nuke;9:16;;;;
10th of april 2014;8990687;titan;hellraisers;dust2;16:10;;;;
10th of april 2014;8990688;hellraisers;clan-mystik;inferno;16:5;;;;
11th of april 2014;8990689;ibuypower;manajuma;dust2;16:13;;;;
11th of april 2014;8990690;complexity;manajuma;nuke;10:16;;;;
12th of april 2014;8990693;reason;langes-lrlinge;train;16:6;dust2;16:6;;
12th of april 2014;8990694;3dmax;tricked;dust2;16:3;inferno;16:5;;
12th of april 2014;8990695;hrmix;lanklan;mirage;19:15;dust2;16:8;;
12th of april 2014;8990696;ussr;oneshot;dust2;22:18;inferno;16:9;;
12th of april 2014;8990698;97club;denied;inferno;16:11;dust2;13:16;mirage;16:6
12th of april 2014;8990699;k1ck;alternate-attax;dust2;10:16;;;;
12th of april 2014;8990700;virtuspro;k1ck;dust2;16:3;;;;
12th of april 2014;8990701;clan-mystik;alternate-attax;inferno;16:14;;;;
12th of april 2014;8990703;reason;3dmax;train;16:3;dust2;16:14;;
12th of april 2014;8990704;hashtag;allin;mirage;16:14;nuke;16:9;;
12th of april 2014;8990705;3dmax;langes-lrlinge;train;16:5;;;;
12th of april 2014;8990706;reason;3dmax;nuke;13:16;inferno;16:13;;
13th of april 2014;8990707;ussr;97club;mirage;6:16;inferno;16:2;dust2;11:16
13th of april 2014;8990708;hrmix;hashtag;nuke;17:19;inferno;17:19;;
13th of april 2014;8990709;fnatic;k1ck;inferno;16:5;;;;
13th of april 2014;8990710;nip;k1ck;inferno;16:7;;;;
13th of april 2014;8990711;titan;mousesports;dust2;16:12;;;;
13th of april 2014;8990712;nip;mousesports;inferno;10:16;;;;
13th of april 2014;8990717;vox-eminor;immunity;dust2;16:6;nuke;16:19;inferno;16:7
13th of april 2014;8990720;regulaters;trident;mirage;16:12;inferno;8:16;nuke;0:16
13th of april 2014;8990721;sequential-gaming;lowenbeau;inferno;16:1;mirage;19:16;;
13th of april 2014;8990722;vox-eminor;encore;inferno;16:4;nuke;16:9;;
13th of april 2014;8990723;sequential-gaming;trident;mirage;19:17;inferno;16:14;;
13th of april 2014;8990724;vox-eminor;sequential-gaming;dust2;16:19;train;16:9;inferno;16:5
13th of april 2014;8990725;hrmix;ussr;dust2;13:16;;;;
13th of april 2014;8990726;97club;hashtag;inferno;11:16;mirage;16:9;train;8:16
14th of april 2014;8990727;ldlc;mayam;inferno;16:4;;;;
14th of april 2014;8990728;fnatic;clan-mystik;nuke;16:13;;;;
14th of april 2014;8990729;mousesports;mym;train;3:16;;;;
14th of april 2014;8990730;clan-mystik;aces;nuke;16:10;;;;
14th of april 2014;8990731;ldlc;alternate-attax;dust2;16:3;;;;
14th of april 2014;8990732;ldlc;aces;nuke;16:1;;;;
14th of april 2014;8990733;titan;clan-mystik;inferno;16:11;;;;
14th of april 2014;8990734;titan;clan-mystik;mirage;0:1;;;;
15th of april 2014;8990735;ibuypower;denial;dust2;16:13;;;;
15th of april 2014;8990736;ibuypower;complexity;dust2;16:12;;;;
16th of april 2014;8990737;complexity;ibuypower;season;21:25;;;;
15th of april 2014;8990738;alternate-attax;mym;mirage;16:3;;;;
15th of april 2014;8990739;clan-mystik;mayam;inferno;16:10;;;;
15th of april 2014;8990740;clan-mystik;k1ck;inferno;16:9;;;;
15th of april 2014;8990741;k1ck;aces;train;16:14;;;;
15th of april 2014;8990742;k1ck;clan-mystik;inferno;8:16;dust2;12:16;;
15th of april 2014;8990743;dignitas;ence;inferno;16:11;mirage;16:3;;
16th of april 2014;8990744;exertus;tst;inferno;16:7;;;;
17th of april 2014;8990745;virtuspro;menace;dust2;16:4;mirage;16:5;;
17th of april 2014;8990746;fnatic;lord$neverdie;inferno;16:4;mirage;16:7;;
17th of april 2014;8990747;dignitas;falconax;mirage;16:2;dust2;16:2;;
17th of april 2014;8990748;lgb;xspell;dust2;16:3;inferno;16:7;;
17th of april 2014;8990749;ldlc;necroraisers;nuke;16:7;inferno;16:6;;
17th of april 2014;8990750;reason;sunken-souls;inferno;16:6;mirage;16:1;;
17th of april 2014;8990751;3dmax;kartfols;nuke;16:1;inferno;16:1;;
17th of april 2014;8990752;mousesports;haest;inferno;16:1;mirage;16:3;;
17th of april 2014;8990753;property;rize;dust2;16:4;train;16:5;;
17th of april 2014;8990754;h2k;r2r;inferno;16:3;mirage;16:2;;
17th of april 2014;8990755;publiclirse;pigsrus;dust2;16:3;inferno;16:4;;
17th of april 2014;8990756;fm-esports;expert;dust2;16:14;inferno;9:16;mirage;16:2
17th of april 2014;8990757;alternate-attax;nw;dust2;16:6;inferno;16:10;;
17th of april 2014;8990758;naptorfactory;cday;inferno;16:14;dust2;13:16;train;16:14
17th of april 2014;8990759;espuma;aesthetic;dust2;10:16;nuke;9:16;;
17th of april 2014;8990760;ence;nopainnogain;dust2;16:2;nuke;16:3;;
17th of april 2014;8990761;esc;nodicegaming;train;16:5;dust2;16:8;;
17th of april 2014;8990762;tricked;taktikstativ;inferno;16:5;train;16:13;;
17th of april 2014;8990763;wild-fire;pansy-hippo-allianz;inferno;16:2;mirage;16:12;;
17th of april 2014;8990764;lemondogs;skb-ec;dust2;16:10;inferno;16:10;;
17th of april 2014;8990765;avenue;sespmermaid;inferno;16:10;dust2;16:7;;
17th of april 2014;8990766;teamgok;zet;mirage;16:2;inferno;16:2;;
17th of april 2014;8990767;flkketid;nqrrebronx;inferno;16:11;dust2;16:12;;
17th of april 2014;8990768;newstyle;crack-shots;inferno;16:3;nuke;16:2;;
17th of april 2014;8990769;oxzone;coyotes;mirage;16:8;dust2;16:11;;
17th of april 2014;8990770;bango-i-karise;kapina;inferno;16:10;nuke;16:12;;
17th of april 2014;8990771;jqntefabrikken;karnage;nuke;14:16;inferno;4:16;;
17th of april 2014;8990772;fixnation;agent;nuke;16:14;inferno;16:3;;
18th of april 2014;8990773;concord-fe;queens-of-norway;mirage;16:13;dust2;14:16;train;16:7
18th of april 2014;8990774;fmladies;team-tactix;mirage;13:16;nuke;16:13;dust2;6:16
18th of april 2014;8990775;esport-engine;playing-ducks-fe;inferno;14:16;mirage;16:12;nuke;11:16
18th of april 2014;8990776;epsilon-fe;bad-monkey;nuke;8:16;inferno;11:16;;
17th of april 2014;8990777;titan;aesthetic;dust2;16:7;inferno;16:2;;
17th of april 2014;8990778;nip;naptorfactory;nuke;16:5;inferno;16:3;;
17th of april 2014;8990779;dignitas;bango-i-karise;inferno;16:4;dust2;16:2;;
17th of april 2014;8990780;aesthetic;espuma;dust2;16:3;mirage;16:11;;
17th of april 2014;8990781;kapina;falconax;nuke;16:5;mirage;16:5;;
17th of april 2014;8990782;reason;flkketid;train;16:0;inferno;16:3;;
18th of april 2014;8990783;sunken-souls;nqrrebronx;inferno;8:16;mirage;16:19;;
17th of april 2014;8990784;3dmax;teamgok;inferno;16:5;dust2;16:1;;
17th of april 2014;8990785;zet;kartfols;dust2;16:6;inferno;14:16;mirage;16:8
17th of april 2014;8990786;property;lemondogs;dust2;16:9;inferno;16:0;;
17th of april 2014;8990787;rize;skb-ec;inferno;1:16;dust2;10:16;;
17th of april 2014;8990788;h2k;wild-fire;inferno;16:14;mirage;16:3;;
17th of april 2014;8990789;r2r;pansy-hippo-allianz;mirage;13:16;inferno;0:1;;
17th of april 2014;8990790;publiclirse;tricked;inferno;16:10;train;16:8;;
18th of april 2014;8990791;taktikstativ;pigsrus;mirage;16:1;dust2;16:1;;
17th of april 2014;8990792;fm-esports;esc;mirage;5:16;nuke;13:16;;
17th of april 2014;8990793;expert;nodicegaming;nuke;16:2;inferno;16:8;;
17th of april 2014;8990794;alternate-attax;ence;dust2;16:3;train;13:16;mirage;16:13
17th of april 2014;8990795;nw;nopainnogain;nuke;2:16;inferno;10:16;;
17th of april 2014;8990796;virtuspro;fixnation;inferno;16:0;dust2;16:6;;
18th of april 2014;8990797;agent;menace;nuke;6:16;dust2;2:16;;
17th of april 2014;8990798;fnatic;karnage;nuke;16:5;inferno;16:5;;
17th of april 2014;8990799;jqntefabrikken;lord$neverdie;nuke;13:16;inferno;16:7;dust2;25:23
17th of april 2014;8990800;lgb;oxzone;inferno;16:3;mirage;16:7;;
18th of april 2014;8990801;coyotes;xspell;inferno;5:16;dust2;5:16;;
18th of april 2014;8990802;mousesports;avenue;train;16:0;inferno;16:8;;
17th of april 2014;8990803;sespmermaid;haest;inferno;16:12;dust2;16:13;;
17th of april 2014;8990804;ldlc;newstyle;inferno;16:4;mirage;16:4;;
18th of april 2014;8990805;necroraisers;crack-shots;inferno;16:12;nuke;16:1;;
17th of april 2014;8990806;naptorfactory;cday;dust2;16:13;inferno;16:6;;
18th of april 2014;8990807;karnage;jqntefabrikken;dust2;16:5;nuke;8:16;inferno;16:10
18th of april 2014;8990808;bango-i-karise;kapina;nuke;16:1;dust2;16:2;;
18th of april 2014;8990809;teamgok;zet;dust2;16:1;mirage;16:5;;
18th of april 2014;8990810;lemondogs;skb-ec;dust2;14:16;nuke;16:14;inferno;16:12
18th of april 2014;8990811;wild-fire;pansy-hippo-allianz;dust2;16:8;mirage;16:14;;
18th of april 2014;8990811;wild-fire;pansy-hippo-allianz;dust2;16:8;mirage;16:14;;
18th of april 2014;8990812;fm-esports;expert;inferno;16:5;nuke;16:5;;
18th of april 2014;8990812;fm-esports;expert;inferno;16:5;nuke;16:5;;
18th of april 2014;8990813;ence;nopainnogain;dust2;16:3;nuke;16:2;;
18th of april 2014;8990813;ence;nopainnogain;dust2;16:3;nuke;16:2;;
18th of april 2014;8990814;tricked;taktikstativ;nuke;19:16;dust2;16:7;;
18th of april 2014;8990814;tricked;taktikstativ;nuke;19:16;dust2;16:7;;
18th of april 2014;8990815;fixnation;menace;mirage;1:16;inferno;16:19;;
18th of april 2014;8990820;dignitas;fm-esports;mirage;16:4;nuke;16:13;;
18th of april 2014;8990821;virtuspro;teamgok;train;16:2;inferno;16:2;;
18th of april 2014;8990822;fnatic;tricked;inferno;16:10;nuke;16:12;;
18th of april 2014;8990823;lgb;oxzone;inferno;16:1;train;16:10;;
